Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.61,0.9099999999999999,0.38060964303416484
100% Corpus,3,0.61,symmetric,0.3944280316073203
100% Corpus,3,0.9099999999999999,0.01,0.415570992449213
100% Corpus,3,0.9099999999999999,0.31,0.39800634244154404
100% Corpus,3,0.9099999999999999,0.61,0.39774440398585
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3944280316073203
100% Corpus,3,0.9099999999999999,symmetric,0.4008797273032347
100% Corpus,3,symmetric,0.01,0.4105444663240115
100% Corpus,3,symmetric,0.31,0.38410745929121154
100% Corpus,3,symmetric,0.61,0.38860607076139725
100% Corpus,3,symmetric,0.9099999999999999,0.36702662840434047
100% Corpus,3,symmetric,symmetric,0.3821171774030902
100% Corpus,3,asymmetric,0.01,0.4118088618311561
100% Corpus,3,asymmetric,0.31,0.3864889164506999
100% Corpus,3,asymmetric,0.61,0.3669656927877642
100% Corpus,3,asymmetric,0.9099999999999999,0.37831651464193633
100% Corpus,3,asymmetric,symmetric,0.3855667254367958
100% Corpus,4,0.01,0.01,0.41944789398091753
100% Corpus,4,0.01,0.31,0.38997932641003263
100% Corpus,4,0.01,0.61,0.3908655931999407
100% Corpus,4,0.01,0.9099999999999999,0.3919428890952867
100% Corpus,4,0.01,symmetric,0.3942064037095948
100% Corpus,4,0.31,0.01,0.4225961325733281
100% Corpus,4,0.31,0.31,0.39959243670532824
100% Corpus,4,0.31,0.61,0.4045688525481349
100% Corpus,4,0.31,0.9099999999999999,0.4036442981320141
100% Corpus,4,0.31,symmetric,0.3926210702823304
100% Corpus,4,0.61,0.01,0.42989221616311346
100% Corpus,4,0.61,0.31,0.42454825147374287
100% Corpus,4,0.61,0.61,0.41142487688201596
100% Corpus,4,0.61,0.9099999999999999,0.4045522842571492
100% Corpus,4,0.61,symmetric,0.42547645235454357
100% Corpus,4,0.9099999999999999,0.01,0.44288358878393363
100% Corpus,4,0.9099999999999999,0.31,0.4254356769409167
100% Corpus,4,0.9099999999999999,0.61,0.4267371538690093
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4277503286003661
100% Corpus,4,0.9099999999999999,symmetric,0.4254356769409167
100% Corpus,4,symmetric,0.01,0.4225961325733282
100% Corpus,4,symmetric,0.31,0.3900232865408644
100% Corpus,4,symmetric,0.61,0.39074724119574733
100% Corpus,4,symmetric,0.9099999999999999,0.3997076736905246
100% Corpus,4,symmetric,symmetric,0.3900232865408644
100% Corpus,4,asymmetric,0.01,0.4207804397071325
100% Corpus,4,asymmetric,0.31,0.39730432144994415
100% Corpus,4,asymmetric,0.61,0.3914505488820741
100% Corpus,4,asymmetric,0.9099999999999999,0.3879106242715548
100% Corpus,4,asymmetric,symmetric,0.39588392471285017
100% Corpus,5,0.01,0.01,0.4425088786390937
100% Corpus,5,0.01,0.31,0.43530048010544453
100% Corpus,5,0.01,0.61,0.43822947041803434
100% Corpus,5,0.01,0.9099999999999999,0.40551694613981726
100% Corpus,5,0.01,symmetric,0.4281996823529296
100% Corpus,5,0.31,0.01,0.4395980057003971
100% Corpus,5,0.31,0.31,0.43821330704154005
100% Corpus,5,0.31,0.61,0.44349757056115646
100% Corpus,5,0.31,0.9099999999999999,0.43428458683781457
100% Corpus,5,0.31,symmetric,0.432265428495212
100% Corpus,5,0.61,0.01,0.4561587029176283
100% Corpus,5,0.61,0.31,0.4339488248795799
100% Corpus,5,0.61,0.61,0.4493192990643603
100% Corpus,5,0.61,0.9099999999999999,0.4482081035020875
100% Corpus,5,0.61,symmetric,0.4349973982386256
100% Corpus,5,0.9099999999999999,0.01,0.46035049469693323
100% Corpus,5,0.9099999999999999,0.31,0.4388727444909019
100% Corpus,5,0.9099999999999999,0.61,0.4453607935270038
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.451211366141293
100% Corpus,5,0.9099999999999999,symmetric,0.4418571049329742
100% Corpus,5,symmetric,0.01,0.44002793040107874
